g26625.t1,g11586.t1,g09644.t1,g12727.t1,g02534.t1,g04535.t1,g04140.t1,g08057.t1,g05800.t1,g00176.t1,g09640.t1,g25191.t1,g24068.t1,g28191.t1,g26744.t1,g10575.t1,g24494.t1,g15637.t1,g00040.t1,g09578.t1,g06110.t1,g27591.t1,g20180.t1,g13837.t1,g02768.t1,g01295.t1,g14800.t1,g17747.t1,g12577.t1,g00544.t1,g20285.t1,g13729.t2,g13219.t1,g14024.t1,g01420.t1,g12092.t1,g07896.t1,g12435.t1,g26986.t1,g11301.t1,g00185.t1,g01894.t1,g09395.t1,g24791.t1,g00433.t1,g31878.t1,g01821.t2,g22150.t1,g30013.t1,g21406.t1,g25562.t1,g07814.t1,g20769.t1,g04160.t1,g19424.t1,g05449.t1,g01568.t1,g06524.t1,g04097.t1,g31810.t1,g02261.t1,g12234.t1,g16413.t1,g09580.t1,g27715.t1,g00106.t1,g08289.t1,g22784.t1,g08382.t1,g25131.t1,g09263.t1,g07850.t1,g15105.t1,g26223.t1,g23240.t1,g17334.t1,g06097.t1,g11469.t1,g22594.t1,g09907.t1,g25001.t1,g25278.t1,g03704.t1,g12819.t1,g14737.t1,g11392.t2,g19238.t1,g20998.t1,g29545.t1,g09573.t1,g22894.t1,g06087.t1,g06095.t1,g12212.t1,g08772.t1,g19013.t1,g08282.t1,g04975.t1,g00174.t1,g22676.t1,g12204.t1,g21238.t1,g16858.t1,g10811.t1,g05409.t1,g16123.t1,g08861.t1,g12940.t1,g21668.t1,g16075.t1,g20996.t1,g16005.t1,g00474.t1,g29311.t1,g09000.t1,g19214.t1,g23239.t1,g13884.t1,g09535.t1,g08244.t1,g13773.t1,g16221.t1,g20455.t1,g01067.t2,g03824.t1,g26456.t1,g23976.t2,g14798.t1,g10174.t1,g25280.t1,g11275.t1,g27475.t1,g02975.t1,g05319.t1,g01769.t1,g29105.t1,g05941.t1,g03583.t1,g16539.t1,g23361.t1,g20515.t1,g15332.t1,g25274.t1,g14208.t1,g07271.t1,g30003.t1,g25127.t1,g26534.t1,g10643.t1,g16309.t1,g02581.t1,g00205.t1,g22663.t1,g21788.t1,g27903.t1,g24165.t1,g04035.t1,g00764.t1,g14019.t1,g17621.t1,g12778.t1,g15410.t1,g01810.t1,g16150.t1,g20046.t1,g02985.t1,g01899.t1,g26480.t1,g01798.t1,g01048.t1,g14751.t1,g06092.t1,g05025.t1,g04159.t1,g19077.t1,g09482.t1,g06105.t1,g04791.t1,g13391.t1,g13696.t1,g25995.t1,g04667.t1,g19914.t1,g03674.t1,g12811.t1,g17394.t1,g02355.t1,g30838.t1,g19421.t2,g02937.t1,g14655.t1,g15840.t1,g02248.t1,g10941.t1,g20557.t1,g01167.t1,g16159.t1,g22161.t1,g13712.t1,g22070.t1,g03802.t1,g09437.t1,g12674.t1,g17062.t1,hour
75,4.183326114,0.194347003,0.576565912,6.222861977,1.672977603,1.378820219,2.200699809,0.040259107,2.731297249,4.913054793,2.817640902,2.490476586,3.427145433,5.068182224,1.544713379,5.231222267,1.120011255,1.381903688,0.532257221,2.031477833,1.571474358,5.41767571,0.061940009,4.362841134,0.754963593,2.317868484,5.546954044,3.61097342,4.885515206,4.878112529,1.738864533,8.383306038,4.849480406,3.904204412,4.775918699,7.015457833,4.585625439,5.213274088,2.79092216,0.327290089,3.914528232,0,1.069878907,3.627462016,6.804136271,6.452454984,1.418319056,5.645112086,5.024560495,3.409801074,5.102709585,2.742396178,9.101653217,8.308006306,6.489607732,6.818146302,1.650157212,1.735808635,3.183949762,4.737700613,0,1.795650041,0.963552941,5.582038763,1.40111927,4.706513073,1.706563625,2.572938324,4.237904955,1.118158125,5.832482276,4.242372551,5.670745555,2.652627792,2.920645288,8.931471903,0.43730865,3.912780603,4.490420629,6.308689086,6.477028202,4.440219143,3.390619726,5.089929349,7.507756472,0.692130767,3.748421885,4.031197864,5.39558255,2.669182673,4.060170071,3.078319742,0.928905537,7.776455668,2.62498935,0.847444522,8.502515846,6.388095598,8.406137529,5.114388124,1.544844277,3.256021169,7.169330067,7.858567858,2.476109061,3.950085324,1.721699469,5.024163607,4.309810869,7.499003285,6.923527913,2.2646126,2.725960467,8.262265085,5.654957767,2.216391693,3.635659499,2.806629197,5.995785019,2.905449511,4.283313608,3.18608059,4.668871638,5.9446908,7.547812898,2.656207495,11.03796589,7.242058423,4.334055856,4.960255675,4.653076384,3.310020228,3.757920248,4.315021715,0.578592761,2.084549789,4.211016881,2.398605303,3.429060994,6.034470491,3.261310176,2.994721418,2.894174364,5.331248593,5.107702909,5.29201713,5.375536412,5.268514957,7.90345269,5.326628774,5.282907548,5.30950981,5.184754786,3.309920027,3.410236253,7.689927697,3.23124938,1.915637583,3.720033683,6.873874049,9.578458994,5.332371631,3.818469764,3.838399522,1.191056813,3.856496508,5.106901023,5.724706111,7.698527218,3.491939006,1.292128375,6.2494538,10.30179478,5.353196115,7.362233509,4.649861016,2.496625886,3.420856762,5.118860214,4.662693021,4.730677868,9.261418836,3.204369735,3.299145493,6.315822948,5.107120941,4.461050934,2.821432842,4.22524822,5.378748415,5.321012056,3.547855933,6.407897755,5.968163706,1.796853949,3.945294963,4.788432097,3.585001986,6.499481601,5.406271353,5.988652628,3.39537461,7.625815495,5.452829879,16
76,5.177458108,0,0.118948005,5.885601956,2.373265073,1.321115939,1.699727015,0,3.11307021,5.228843648,2.489074828,2.877393641,2.712713399,5.397583787,2.713802685,5.11425848,2.186558547,1.288170478,0.381725416,1.064094727,1.02360089,5.035343528,0.392446524,4.01262246,1.493848239,1.086225122,4.43497779,3.737438789,3.854139216,4.099148279,2.563010286,8.024929732,5.627023824,3.283452705,3.538941625,6.959243954,4.672494251,4.989330256,3.678181156,1.273528849,4.958189483,0,0.436516264,2.662703632,6.061123645,6.033778134,0.094256309,5.020374167,4.732729617,1.584265083,4.352184068,3.219901344,8.580870606,8.15654332,6.136950965,6.636377442,2.481057617,1.63081654,3.646352184,4.261892153,0,1.432856344,1.40104359,7.007628727,2.65930465,3.549814963,0.764788907,3.549658844,3.977378104,1.338262555,4.908506053,4.997703695,4.964406115,2.271798471,4.065187583,8.546867337,0.144348563,2.969890354,4.215325347,6.412409081,6.892921329,2.999315285,4.168805445,5.306204727,7.070980994,1.330478976,3.310084359,4.882898757,5.345664589,2.517450959,4.252088543,2.631909782,0,6.966536716,2.656967786,0.392959184,8.335190028,5.289607648,8.087039215,4.719914074,1.757927426,1.610366746,7.469862112,7.414106864,1.943233321,4.48362015,1.602294417,4.978888108,5.868233964,7.33703986,6.877250077,0.524532102,1.667760159,7.810247913,5.6456998,2.055365257,4.343273472,2.79595747,5.241334077,2.114817056,3.089557787,3.244922712,4.627501358,5.363619058,6.900471981,2.964141485,10.95014449,6.554048039,4.102699655,3.383908215,5.13732175,3.21946594,4.303560258,4.050120842,0,1.132765016,3.396304663,2.062937356,3.469478624,5.028464257,3.384826728,1.182022596,2.626034177,3.994347878,4.801250437,4.343826666,4.747318758,5.251529607,7.054767966,4.462713794,5.059324159,4.485685997,5.154203717,4.505001248,2.634740728,7.831354018,4.105857232,1.323504336,3.582206941,6.357260313,9.264029846,4.917513465,3.123600109,4.165158124,0.378597577,3.745660114,4.26475526,5.401643665,7.585061731,3.945648783,1.786382741,5.654977918,9.520688119,5.618582561,7.063282671,3.788734272,2.214714873,3.891503931,4.826175603,4.606281981,5.131006172,8.727340147,3.897414828,3.011212656,6.622900309,4.890369253,4.904892013,2.367366712,3.837004746,5.280774806,5.105512609,4.183845668,6.472766659,5.065098421,2.29014484,4.045420622,4.756821417,3.574049496,6.765969837,4.904925914,5.411955306,3.923485423,7.544633915,5.04484185,18
77,6.450784899,0.368627829,0.336920501,2.35045003,3.644063586,0.824090727,1.785073486,0.87683488,0.749972041,5.844240948,2.621962437,1.471805022,3.20669155,3.936758387,2.769070855,5.699238344,2.357422643,0.531914245,2.375895511,0.715314428,1.709160458,3.979031462,0.28951035,4.382359288,1.450906132,1.884630927,2.729313566,0.548029577,3.077081177,3.504951645,3.943332586,6.765934642,7.055223562,0.499521721,3.912527416,7.537109655,3.994682938,3.676551898,5.330966696,0.738289497,6.04079924,0,0.360463644,1.469716249,5.810599117,5.864795908,1.186379241,3.328682414,6.14995913,2.15508766,3.769300544,1.732172579,7.396868654,6.550650526,5.489890985,5.811293933,2.054001427,2.906010427,4.305176926,3.742235344,0,1.596864332,2.650483131,7.222879914,3.600405058,2.889850344,2.247308158,3.01467545,3.841858124,1.81446912,4.238908068,6.647644068,4.411174973,3.407086357,3.829005773,8.055570436,0.590987646,3.608123028,3.920082971,5.655011617,5.996517675,2.455889259,3.74544014,3.412573898,8.553084376,0.338389789,1.459639828,5.761879105,2.725003277,3.547218688,2.837220104,2.250805725,1.062335319,5.70604667,2.457556369,2.410549205,6.270006427,5.817224841,7.494410595,4.398977482,1.772571809,1.764158543,5.782278963,7.136626091,1.913791364,3.93760791,1.818831397,3.641961038,5.13395217,6.915487551,6.170626227,2.823099405,1.958815823,6.851745458,3.978893385,2.908609898,4.959751188,3.174368698,4.30304329,1.874342568,1.84332818,3.228053363,4.456830188,3.789835592,6.059632958,3.936337497,10.13903984,6.520332365,4.922283693,4.304072454,5.921511888,2.751838331,5.87388415,2.346763443,0,2.102064024,1.690518806,1.228527825,3.528248391,5.622081895,4.830692147,2.036212132,2.702925894,5.758860379,6.038165103,3.52610835,5.515880668,6.2562104,7.261907471,3.582990344,4.327766353,4.252160216,4.44078315,5.288061451,1.693844691,7.086057658,5.033717364,0.660320112,3.109932962,5.587413563,8.484361852,4.432190145,4.004179107,4.091256281,0.533821029,3.680998901,5.150035208,5.306340633,7.130309208,5.077514328,3.601385462,5.651753898,8.945912052,4.945793357,5.710227867,3.848751778,4.179615445,4.911609305,4.294852926,5.023328777,4.873342126,8.249200441,4.066992679,3.649278666,6.783892519,3.405924348,5.071259406,2.070399029,5.151641634,5.0681719,5.040973329,4.806505801,5.964115697,4.760861573,2.652410231,4.960755804,6.124597678,4.116374075,7.109848886,4.826375122,5.6489972,3.819152418,6.708265658,4.621346537,20
78,7.08440459,0,0,1.120275317,6.071958005,0.868125975,4.81646423,1.286325998,0.526919852,6.035728919,5.190172393,1.732026787,4.041817106,3.917748068,4.337069636,5.793247513,3.543692525,0,4.141543748,0.484658743,0.84718434,2.708988883,0,5.023920524,2.09886326,1.629462579,2.214292343,1.242356846,2.589036685,3.462567316,4.726568659,4.331974831,7.980955051,1.86435463,2.772614487,7.39192769,3.750871332,2.41117037,6.824109057,1.560785498,7.481095354,0.410972216,0.060882994,0.521687053,4.792877937,5.695315596,4.003800221,2.207811586,7.35988143,0.97957488,3.168471789,1.198467987,6.624234415,4.634505679,4.989426442,4.499207446,1.731209262,4.02495363,6.175072799,2.684181358,0,2.379418583,3.232650194,6.345241331,4.433446956,2.971175248,2.306806381,3.530699607,4.14971848,1.170014117,4.824443227,8.192630905,2.169463981,4.984486969,4.31378511,6.294165133,2.021536382,3.51921557,3.845371766,5.144303454,4.657325415,3.932896652,3.631175386,3.946457721,9.098130406,0.359495824,2.288034224,5.60432627,3.018805224,5.089623952,2.573318327,2.26888045,2.233109983,3.360668776,3.334471168,3.127981488,5.704695886,4.951010482,6.471962655,3.409739784,1.580372212,3.066543608,5.432973097,6.597302184,3.106014036,3.936092711,2.042551333,3.121687101,5.166706471,6.764535259,6.280777761,3.883239717,2.888585055,5.859309906,3.819101383,3.338489686,5.907494274,2.658709616,3.357899123,1.452692136,1.023586771,4.10552201,3.201023377,3.440293005,5.847783929,4.495048178,8.929534704,5.51086246,5.324121403,5.04082755,6.864669794,2.828730043,7.670720479,2.334160855,0,2.460438879,1.867487864,2.410145612,4.886049383,5.252869845,5.432663398,1.777357054,4.297122394,7.209345399,6.535949961,4.002044024,6.891988784,6.930460732,6.463349692,4.595655582,5.098986174,3.78817257,4.577610391,5.996811147,1.747677153,6.408235506,5.546083144,2.097087447,2.65779932,6.169325489,7.651373406,4.747502683,4.424405921,4.424514642,1.037385735,3.421546521,6.180692299,5.011958227,5.821064569,5.631753476,4.584175567,5.320038372,8.197496602,4.224174239,4.920881178,3.976401138,4.268800234,4.78511711,4.174429123,5.551859035,4.732876522,7.040652882,5.633240692,5.097349301,7.914462824,3.150351666,5.744286966,3.383537748,5.502363768,5.977459781,4.719334336,5.016777837,5.845325547,4.632392191,4.024527278,5.204603167,6.803526068,4.917202712,8.061055895,5.660018164,5.229402074,4.2317142,5.91887752,5.780149935,22
79,7.514243057,0.194252943,0,1.016409187,7.083154667,1.097534739,5.225689489,1.504624405,2.462761696,7.313490584,6.728473508,2.070252793,3.800700207,1.09911467,4.644495705,5.854419795,4.907014515,0.433526086,5.664463921,0.331676403,5.003563692,1.521377199,0.327678927,4.705649336,2.809368891,1.142970116,1.717310801,0.988169427,1.656378242,2.469491245,5.559898145,4.357647999,8.386267798,0.323838833,2.775720701,6.368528238,4.986238255,1.824896445,7.852707315,2.800074021,8.22902549,0,2.176796702,0,5.600147146,5.360483381,6.563114539,1.612261455,7.658256989,0.458056491,1.836481739,1.389723782,4.7446209,4.579268065,4.121699684,4.306820457,3.798842106,3.159354255,6.702502765,1.605783108,0.941229536,1.557903953,3.586157558,7.401612407,5.281852345,4.828635691,3.794826889,4.249930203,4.232884106,2.601640399,5.536206734,9.164409245,3.091718949,5.721539879,5.466357194,5.735343499,2.619971695,5.334229998,4.038685737,4.274279658,4.891430294,6.325127289,2.845388108,4.692865688,8.029608145,1.520148561,1.21470387,7.476416888,2.002583315,6.114987406,2.194325101,0.997660118,2.44789683,4.365277825,3.544416187,2.813345496,6.596017489,4.322733856,7.37531335,4.706128086,4.051449441,2.983541708,6.222836697,5.967960112,3.732124222,5.549748839,2.738363916,3.468884997,6.134880853,6.985772181,7.279662622,4.978124336,4.628082922,6.439612716,4.602726688,4.544586221,6.056990725,3.699536447,4.342288092,3.487158562,0.959171182,5.383886982,3.062663229,3.78743376,5.147555092,4.674565386,9.133230212,5.191201155,6.219804639,7.081691963,7.651435909,0.822459097,8.673072598,1.095955313,0.771595106,4.529757811,1.408503911,1.149788275,4.757641474,5.069523725,6.182663616,0.443916178,4.844727096,7.759093873,6.163225878,4.47380957,6.637537388,7.796052531,6.95364088,5.087330705,5.19382894,4.176733879,5.481947637,5.546241357,2.942723912,6.145623021,6.016229205,1.741479825,1.987013174,7.307272302,7.645897547,4.344019446,3.933942691,5.406632942,2.531532142,4.271338259,5.826860573,4.621497831,6.026455731,5.795437078,4.452110522,5.620622737,7.627754495,4.337118845,5.982357811,3.654433475,5.182265052,4.472334446,4.235361979,5.886347779,5.174437395,6.441745134,6.045471955,4.419099932,7.91022225,3.591935923,6.064471845,3.918058531,5.941626654,7.403815158,4.561942186,5.575758565,6.068394982,3.632199736,4.194216664,3.674352339,7.613732338,3.846524266,7.618169224,6.096300448,5.530430812,4.624714958,5.740027289,5.924528685,0
80,6.593261852,0,0,0.506746828,8.870975903,3.479974874,7.730455629,5.462323558,4.268675406,8.634013153,8.768476257,3.4615149,3.644028187,3.139027205,6.006551591,4.936961972,7.277182417,1.829836045,6.845626263,1.00247941,6.823393567,0.787172129,2.438821745,6.137100892,4.370464827,0.735523913,0.679406084,0.543339763,1.509407466,1.653668726,6.557530412,3.844447201,9.511000006,1.570516933,0.8051689,6.285324097,6.946496283,1.716877138,8.153130181,4.358058367,8.844194319,0.556548917,4.346633652,0.972914161,2.828044596,5.513721596,8.78024276,0.726497986,7.538786864,1.070586104,1.30027198,0.375582206,4.790827368,3.670277683,3.918211226,4.004702571,4.018677194,3.996800268,6.64923856,0.833811846,0.528476919,3.520135511,4.166122736,8.266703146,4.973545092,5.635754574,4.068426615,5.603168451,4.378924384,4.881273159,6.506221198,10.5802258,2.321699339,6.92901235,6.001149977,6.722474019,4.411469311,7.491408151,2.671244123,3.758575458,4.812419137,6.32508401,2.361909297,6.69139509,7.466199113,2.374943142,3.490935232,7.377686105,1.539863089,6.721017794,2.766298953,1.393885987,4.341070121,4.253815933,4.531020017,4.061699878,5.420510024,4.028777532,8.07709741,1.724124019,5.447799458,2.7051113,5.578044012,5.711630775,4.730077855,6.407156727,4.242529245,2.619012498,7.603001662,5.832243929,7.175336491,5.886159354,5.915174034,6.407736914,4.656568969,5.394921229,7.029649899,5.549155538,3.988947136,4.30553005,0.353440595,6.41173103,5.054886399,3.070657637,5.209276585,5.379748276,8.550448423,4.119825627,6.58265889,7.095104623,7.787431009,2.134108369,9.032256622,1.770379297,3.805229903,5.618580848,0.737510382,2.14826291,5.735221275,4.476688519,6.067918234,1.210149384,6.292886216,8.077971601,5.51337711,3.025294169,6.599010629,8.610205528,5.042740073,7.00662561,6.011797237,2.808447242,4.871160107,5.649420031,4.300819647,5.961068477,7.005812199,0.6777472,2.047547587,8.538416042,7.50054995,6.737509965,4.69550158,5.10260257,4.569559145,5.241524401,5.827824172,4.58154117,5.893044035,6.2087959,5.287859062,5.868336588,7.90246813,4.041395312,6.320542512,3.343845784,4.731355138,4.429049732,2.615364109,6.643572842,4.570666955,6.46159525,6.541384719,4.783289174,8.59460587,3.441634972,7.11295769,4.87978869,6.272033369,7.905690728,4.693608723,6.604922148,6.863675462,3.704502705,4.102758581,5.076538153,6.941417717,4.693832657,8.984028212,6.925083014,6.366985049,5.469569571,5.934752217,7.614461342,2
81,5.793766499,2.907593908,0.776363785,1.244072958,9.103111225,5.664644708,8.222097611,6.106417369,6.312948148,9.80338459,9.300626417,4.37898494,3.605866175,7.003180787,6.609578314,4.734289744,7.898742299,3.880311868,6.921417258,0.646270106,6.925369445,2.273957862,3.536356083,5.389970235,5.029940331,1.397776685,1.333737546,1.278780777,0.443577461,1.922655892,6.639221329,2.71879408,9.807812348,1.219433062,2.588436157,5.310526113,8.082326311,3.282551288,8.12369152,4.637239369,8.846652402,1.181283411,4.887965991,0.368149464,2.783491524,4.392697674,9.119077414,1.228665642,7.545420999,0.98432532,2.63318695,1.445636742,3.665099838,3.256757189,4.275209953,5.145553394,3.943353877,4.020622291,7.045320985,0.848757401,0.569246732,4.791389818,4.30741928,8.349589338,5.43897398,6.180846085,3.982319712,5.916956108,3.105708385,5.652384622,6.70517151,10.8130143,2.395905295,6.606526094,5.996151991,6.449776354,3.275185201,8.266570094,1.881240314,3.901466472,4.648808584,6.212139669,1.920221279,7.243332677,7.378669429,3.625111714,5.31746882,7.291797189,1.67524388,6.590703987,4.632484023,1.230204011,3.965179103,5.27344615,5.199530946,4.840384319,7.139221957,4.472101246,9.199540166,3.0164415,5.498290145,4.091477434,6.905729579,5.052054356,4.933335644,7.26562072,3.907339402,3.593989115,7.491852345,5.786444069,7.962604254,5.115627026,5.913354831,7.095261126,5.539767555,5.238007089,7.098157786,6.190978016,2.928127936,5.23896951,0.212505295,6.561344438,4.462358692,2.028799067,4.675528521,5.663393219,7.76348519,4.055028472,6.420208926,6.608824126,7.625291155,2.475134175,9.264585576,1.480295287,3.99606076,5.435709378,0.740279237,3.620685846,6.056771987,4.123483793,5.708719078,0.05396092,6.335195933,7.573364767,5.324972381,2.4958104,6.164262808,8.876139463,5.625272916,7.248902832,6.62120563,3.513710136,5.127702866,5.499463015,3.796857245,5.002418944,7.168920258,0.386902355,2.096420356,9.359688544,7.003124363,7.439767329,4.419011566,5.258805821,4.333759089,5.415607656,5.316285171,5.028232401,5.380054393,6.34412712,5.531364741,5.083578293,7.686785439,3.517024143,6.853968792,2.649951625,4.953488925,4.319566112,3.337546281,6.461675959,4.235139442,5.671889942,6.561136399,5.244993157,8.806024507,4.240100202,7.242356211,4.073719213,6.312866302,7.90690454,4.151204953,6.545430176,7.348691712,2.435010135,4.468056883,4.825993988,7.128492455,4.853830156,8.446510651,7.026915492,6.61664229,5.407974685,5.542813411,7.910154808,4
82,4.626152959,1.876312467,0.457481816,0,8.964933624,6.778480249,8.143240104,6.078618497,7.352623257,10.49555139,9.552804236,5.150907343,3.517595825,6.669305215,6.236973586,4.968584927,7.806305631,5.192849704,6.976364157,0.712272885,7.045467528,3.914835645,3.192843128,6.395976479,5.12150034,0.937788108,0.833826377,1.599164423,0.343387702,0.351434192,6.704653595,2.606417233,9.718029635,2.198799835,3.157309268,5.783389326,8.675894899,5.098941471,7.982422541,3.625390399,8.584526984,2.333444249,5.393040213,0.704404978,2.786837588,4.132607731,9.541975649,1.390455697,7.596571077,0.397028618,3.064960294,1.073016053,3.768347226,2.45200322,5.006059765,5.52602719,4.226684474,4.46121556,7.114387452,1.097313074,1.697123461,4.951800342,4.151702944,8.447036143,4.419549726,6.334937413,3.081519596,5.236328693,2.911383224,5.771297502,6.704351769,11.11607078,1.526139607,7.10234423,4.920615766,6.261226969,2.970269126,8.867097929,3.880680033,2.379086456,3.574972731,6.942895127,2.176993684,7.593423573,7.805582735,4.504527645,5.389409521,7.1551278,1.696488809,6.546167756,5.645274571,0.734099747,4.009178685,4.888520893,4.940417084,4.91680565,6.746488328,4.042339831,8.9485307,2.649034141,5.436826014,3.56321833,8.006149974,4.818206813,3.496379375,6.719772157,3.475023072,4.081324648,6.927922352,5.53686906,8.04010574,6.098991148,6.307953856,7.322191537,6.237444327,5.733679958,7.036758517,6.58456253,3.571939406,5.034043644,0.763600404,6.540111946,5.576240103,2.640239106,4.482659121,5.001262847,7.1777486,4.517463135,6.614687532,7.640069017,7.562743899,0.575334986,9.003787028,0.855658154,3.234724514,5.55875995,0.874169472,4.189635463,5.973645571,4.834270745,6.120679976,0.998911772,6.374080973,7.484981986,5.065917118,3.470132873,7.114569161,8.653098421,5.620023056,7.470482913,6.869872152,3.40659787,4.541373847,5.602615333,4.060824935,5.475641997,6.659525497,1.581072434,2.959936986,9.638001891,6.937188632,8.297883965,4.574764414,5.011192148,4.732017195,5.59212724,5.702257505,4.863229983,4.935643814,6.52491976,5.008929281,5.548007213,7.467681995,2.844436688,6.342729852,2.943210163,4.416296907,4.459125668,3.702424584,6.842727456,3.768696758,5.915549127,5.969800753,5.472012901,8.719736875,3.599341575,7.468382154,4.269641008,6.275092817,8.163639726,4.356578078,6.104567903,7.696356758,3.455050237,4.204566976,4.418764504,7.430317711,4.820201156,8.525458537,6.745806752,6.946692501,5.57449091,5.211675011,8.158101488,6
83,3.587231861,2.494551026,5.995822939,1.253259447,8.83807017,7.739610201,8.687029771,5.839845204,7.958914505,10.37870751,9.575992291,5.427262644,3.099086878,8.573189081,5.092791278,4.640648209,7.675605486,5.85768719,6.548254894,0.400097905,6.814537742,5.042036998,2.74557916,6.903573786,4.633871238,0.533316367,0.989152553,0.54579224,0,0.251971923,6.494826354,6.911630225,9.105804088,4.541572134,4.116222525,6.363238622,8.473303543,7.128015524,7.783882407,3.534855531,8.33833197,3.327269995,5.68834846,0.320233888,4.261683887,3.45429124,9.342515205,0.338591352,7.631459285,1.667280416,3.603533633,0.933329574,5.673424082,4.46146342,7.085051963,6.494185836,4.408926249,4.519809628,6.656606483,0.104746684,1.463930546,5.304355092,3.751775255,7.98938567,4.416540091,6.251335661,3.702917467,6.83115038,1.614145563,5.717339647,7.428724981,11.18493986,1.223852766,6.187627204,5.294417016,6.47445605,3.080632427,9.113046424,4.421138609,2.404509298,3.535118214,6.329947779,3.035561209,7.872860963,7.842285647,4.359053009,6.653128712,6.346847585,2.733423911,5.825129233,6.112250689,0.783230262,4.029298621,4.871756539,4.422845008,5.614473444,6.774497765,5.606579328,8.781530649,2.414915478,5.068804753,4.185591958,9.287746353,4.686395655,3.591499467,7.357377672,4.113035948,4.50661765,6.953571387,4.447676609,7.473019893,3.732307245,6.318491732,7.104865408,7.144396552,5.07827586,6.28864888,5.445272425,4.677937541,5.020859809,2.172723335,6.515924946,4.915259628,4.025852829,5.118258829,5.433050988,7.307929958,3.245918812,7.25300125,6.917031883,6.793360151,1.917298374,8.941220996,1.665395501,2.906847724,4.544810875,0.514257475,4.54905456,6.201679854,4.203578356,6.073031567,1.116642475,6.463797626,8.09411277,5.645083144,3.28764865,7.673778588,8.103222622,5.064142235,7.929062227,7.223219707,2.426929811,5.963270929,5.754501959,4.292454434,4.478543349,6.320574809,0.300274744,3.073111497,9.91953328,6.817638871,9.159902078,4.230350852,4.917519044,4.420829588,5.62313105,5.905595698,4.932526406,5.198471173,6.602914841,4.404949522,5.203758023,7.026392523,3.389715729,5.593322582,3.776153253,4.705120522,3.782383072,3.677714006,6.440810256,3.829897126,5.828921869,6.150589289,5.934434752,8.560063492,4.737901224,7.45501137,4.696424424,6.265402889,8.173803307,3.814459834,6.342508674,7.531602904,4.594584625,4.817708829,5.03414838,7.469358604,4.983033046,8.380551854,6.888848668,7.023283325,5.466819865,5.2547391,8.303126122,8
84,2.014417546,2.288226187,6.348136132,0.340283167,6.949342154,6.878014493,7.622400648,2.507192609,6.84759365,9.295161431,8.544704597,3.706329202,1.428908207,9.255183213,2.285200822,2.777912742,5.853293882,4.738090319,4.791085351,1.128259104,6.39662006,6.253696665,3.120776859,5.492120797,3.566206216,0.918930535,2.355882168,1.789789441,1.12066958,0,4.709582191,8.361468724,7.126400832,5.287486316,6.245962251,5.342553706,7.493504376,7.230394055,6.574016803,3.414232449,6.91222254,2.735022625,4.91588546,1.704933397,5.00519563,3.755823692,8.28984359,0.972957158,6.686708751,1.915857485,3.794437642,3.532177013,5.680906706,6.227259258,7.515168338,7.414508354,3.255552042,3.221674365,6.577998305,0.719914708,2.422174938,3.895085604,3.054585916,7.88203329,5.052656145,5.881004518,4.48093895,5.843772404,2.197260705,4.909682903,7.138819703,9.297610633,2.315419042,5.734445241,4.687453196,6.899783654,3.305963414,8.443313009,4.88319341,3.826306754,4.957626495,6.404310854,2.414680976,6.974373636,6.349973698,4.684065047,6.230165379,6.974688846,4.412923757,4.890516416,5.518798989,1.559461342,3.547844114,6.206671657,3.661813196,2.998088127,8.381444903,6.069217531,9.312761511,3.493107536,3.90618652,3.944287007,8.898843998,4.887932836,3.097987946,7.549331006,3.889015371,5.337868482,5.95183256,5.647461809,7.832192523,3.901696192,6.352623372,8.189372935,7.900242638,4.336922843,5.447403601,4.687777475,5.549030951,5.165964478,0.851272457,6.463502592,4.66434137,4.738966552,6.148679228,4.458207534,7.625571208,3.32139298,6.845044994,6.865648561,6.607017659,3.094860567,7.62772999,4.090524986,2.958584586,4.470432296,1.302198299,4.33403096,5.293162037,5.207049835,4.73789968,2.145429131,5.956577922,7.272048161,5.038624289,4.246123479,6.111537676,7.685611361,6.625203176,7.465537499,6.978099702,3.722907725,6.824176411,4.796494981,4.4386594,5.488055645,6.014764319,0,3.554738146,8.86615669,7.030202696,7.765238956,2.950611773,5.006112098,3.217424546,5.807721958,5.410721259,5.503071556,6.46144067,6.054183365,2.823319889,5.498722345,7.471346599,4.235879609,6.580799202,3.097216487,3.973491368,3.203115382,4.403373058,5.3127212,4.289013337,6.629650052,5.388032953,4.222210528,8.107568921,4.458553032,6.849673861,3.733108487,6.00192957,7.833047344,3.584490733,5.026849661,7.647980327,3.933289443,3.642296187,3.984143552,6.94158195,3.968482167,6.948736331,6.540517032,6.839066246,5.145973934,5.972069935,7.453487868,10
